36
bonita beautiful
pelo hair
el the
dos two
todas all
en in
de of
los the
sopapilla sopapilla
tarde afternoon
quieres want
muchachos boys
tienen have
punto point
con with
antes before
mayo may
tu you
hambre hunger
montequilla butter
a to
una a
la the
cafe brown
su your
es is
quiero want
vamos go
mi my
barco ship
nosotros we
casa house
yo i
regrese return
necesita necessary
despues after
yo quiero una casa bonita
todas de los muchachos tienen hambre
mi pelo es cafe
tu quieres montequilla con su sopapilla
es necesita a regrese a el barco antes de dos en la tarde
